String	Entity			
"1. Use interfacs, you defined those so use them (in your controller and test). 2. Why Spring Extension in your test you aren't using anything Spring related in there, either use it or ditch the extension. 3. Judging from your test code you are mixing also JUnit4 and JUnit5 which isn't going to help either."	JUnit4			
To M.Deinum It still doesn't solve the error :C	C			
The main cause is mixing JUnit4 and JUnit5 that is trouble waiting to happen. If you didn't solve that it simply won't work.	JUnit4			
If it throws those exceptions you haven't told everything there needs to be told or your mocking isn't complete for the second one (if there are multiple calls one the service you need to mock all of them). Or you are still mixing junit dependencies in your test).	junitdependencies			
"ooooh, you mean like the repositories? (my service uses 3...) Sorry for all of this, It's my first time testing an MVC app..."	3...)			
No as for your service you should use the interface as I told and also did in the code!.	code			
"Ok, sorry, thank you very much, ExtendWithMockitop works, I changed the Service to the interface in the controller but I forgot to change it also in the constructor of the Controller. My bad!! Thaks you very much!"	Service			
"use online tools like ,jsonlint.com, to validate your JSON"	jsonlint.com			
"This is what SpringBoot's profiles are for, isn't it? Have one profile for production and another for testing. In the testing profile, say ,application-testing.properties,, use H2 as your database. If you are not clear, I will post an answer explaining this."	H2			
"I don't full understand your problem but spotted a wrong mapping:  To GeneratedValue(         strategy = GenerationType.AUTO,         generator = ""compania_sequence""     ) Should be GenerationType.SEQUENCE"				
Thanks! But I'm still getting the null problem. :S. Should I delete something? Everytime I save a Compania I'm still getting the attribute of the ManyToOne compania as null.. :S	ManyToOne			
Please show how you save the entities. And do you have the foreign key set in the database?	entities			
To Varox You have to fetch eagerly				
To SirHawrk Why? If the relationship wasn't initialized there would be a LazyInitializationException				
"I think I didn't explain it right, I want the child elements related to one parent. But those children having a name like the one i麓m passing. So for example, for the Parent with the id 3 get all children that have a name like x. Thanks! (I've just added more information, sorry if it was very little)"				
To Varox see the updated answer and if it works for you like this ?				
Test it with a regex?	regex			
"Yes, we can. It would be great if there is any solution provided by Java for this. Instead we write a Utility and apply across all places where this UUID is being accepted"	Utility			
Can you share your code where you persist the roles and users ?				
To b.GHILAS sure. updated code				
"Tried your code locally, it works fine, which database you use ?"				
To b.GHILAS postgres	postgres			
"To SamFisher yes I think the cascade is the problem, you didn't include this in your post the first time, this is why it works fine for me. Either delete the cascade or use the solution of Jo茫o Dias below"	me			
thank you very much. it helped me. but appeared new question. now I receive requestDTO. I need to create new user account object and map fields from dto to it and map role. is that a good practice?				
"Yes, it is, using Entities in your Controllers as response or request should be avoided at all costs. See your entities as the core of your business. These are the classes you use in your services and while doing some serious business logic. All the other classes (so-called DTOs) are used to get data and send data to the consumers of your API. This also means that you decouple your public model from your domain model, meaning that you can change any of those without having to modify the other (of course the mapping needs to be changed, but that is hidden from the consumers of your API)."	Entities			
Thank you! I finally understood how to build the consumer tests. Do you by any change also have an example of how to verify the provider with the API in the next step?	API			
"Have a look at the workshop, it goes through it all step by step"	workshop			
Thank you for the quick reference. Will this setup auto-convert my int query param value to actual enum when it reaches the controller or Do I need to use any ConversionService to get this converted manually?	ConversionService			
"I have enabled this. It starts working but it is impacting few other places internally. I am seeing this issue at some other implementation while fetching data from repo - ""Unable to evaluate the expression Method threw 'org.hibernate.LazyInitializationException' exception."" Not able to figure out how this is related to the change I made. If I disable my Configuration class for Converter, I am not seeing the exception !   To Renis1235"	Method			
"Check this out then ,stackoverflow.com/questions/57536693 , . Use the Converter only on your one controller. The two error messages have nothing to do with each other though. Try it and reply if it works."	stackoverflow.com/questions/57536693			
Worked! Thanks a ton To Renis1235 :)	)			
".forEach(task -> if (...) { ... } else { ... }),. There's no advantage of streams here."	->			
"I've updated my post. The first list is not really a ,List<Group>, due to a deserialization issue. I need to find how to turn my payload into a list of the SDK model ,Group, to properly compare them"				
"I don't know REST, but if you only want to check for success/failure and need not have any error details, you could simply return null in case or error and spare the ResponseHandle."				
REST should ideally use HTTP response codes rather than relying on the client casting to multiple return types				
"Thanks To Gunjan, I tried it, but I'm still getting null. But now I am getting one array inside another. ,[[null, null, null, null, null, null, null]] "				
"The error says ""method name"", not ""URL"".   The method is typically GET, POST, etc., though extensions are possible."				
"To user16632363 It says ""HTTP method names must be tokens"" at the end of the error message. That's what is throwing me"	HTTP			
Change the server port for your app server				
"Strange as it's a 3rd party api, but I see you're right."				
"I think this error is for tokens, that they expire after a while, not for credentials. So it seems that he should authorize get a token and then use that instead. I think To DaveMustaine needs to read the documentation of the api ,duo.com/docs/authapi#/auth"				
"Let me guess, there鈥檚 a ,2, missing? It should have been ,2019-01-04T18:30:00.000Z,? Approximately two and a half years ago."	2			
"Your string is in UTC (denoted by the trailing Z). Do you want the time of day in UTC, in your own time zone or some other time zone? Which one? Your profile says you鈥檙e in India, so the time in your time zone will be ,00:00:00, (hardly any coincidence)."	you鈥檙e			
"Welcome to Stack Overflow. Please learn that you are supposed to search before asking a question here and when you post a question, tell us what your search brought up and specify how it fell short of solving your problem. It鈥檚 for your own sake since (1) you often find a better answer faster that way (2) it allows us to give preciser and more focused answers. I downvoted because there is no research effort documented in your question (and I seriously wonder why anyone upvoted)."				
"Thank you!  I think I'll stick with the latest version, the Z3! However, there is no library for ubuntu in versions 4.8.11 and 4.8.12.  ,github.com/Z3Prover/z3/releases,  Which library should I use?"	4.8.11			
"Might be easiest to just compile from source. Here're the instructions: ,github.com/Z3Prover/z3#building-z3-using-make-and-gccclang"	source			
"Sorry. I got the same warning when I ran the above program using version 4.8.11. ~~ WARNING: invalid parameter, unknown module 'parallel' 3/5 ~~ In what environment did you run the above program?  Also, what libraries did you use?"				
Make sure your z3 version is really recent. I added a code sample to show how you can check that from Java.	z3			
"Checkout what Spring Data Rest could do for you ,docs.spring.io/spring-data/rest/docs/3.5.2/reference/html "	Data			
"You can send a ,UUID.randomUUID().toString(), to the server, store it in a table (for example) and everytime you send a request check if that UUID already exists in the server."	UUID.randomUUID().toString()			
"To danielctf I didn't get what you mean , can you elaborate?"				
sounds like a good solution! i'll try it and get back to you!	you			
"how can i send request to that method with responsebody ? i just want to send a list of longs for id of customer like [""1"",""3"",""15""]"	responsebody			
"With ,RestTemplate,. You can see examples here ,baeldung.com/rest-template"	baeldung.com/rest-template			
"Did my answer helped? ,stackoverflow.com/help/someone-answers"	stackoverflow.com/help/someone-answers			
"To user7294900 Actualy, after I learned more about maven I could see the problem, but yes it helped."	maven			
"I didn't undertand this part, I'm a new programmer, how can I add the dependency?"	dependency			
Using strings wouldn't prevent recompilation if you're referencing them explicitly. It would introduce some fragility though.				
"Please don't post junk in your question and don't ask for a solution ""quickly"". The site requires that you post sufficient text with your code so that you adequately ,explain, your code and your problem. Trying to get around this by posting junk will invite close-votes and down-votes to your question because you are seen as not putting in effort to help make your question easier to answer."	down-votes			
Investigate your problem so that you know which bean is not being created. Then look at your code: How are you creating that bean? Can you think of any reason why what you are doing might not work? Then ask a specific question about that bean -- the error message tells you what type is the problem.				
"I was expecting more responses, but none are there. I liked your idea about shared common model. Could you please share any more ideas related to better project structuring. I have decent knowledge related to handling traffic growth. But creating a structured and maintainable project is something I can't find any resource over internet."				
Can you link the file? I can't seem to find a class with TimerTask anywhere in the repository you linked.	TimerTask			
To HristoStoyanov I put the link to the repository. But now I've changed it to the class file link. Now you can see the whole context	repository			
"There's still no TimerTask , the stopRecordingVideo() method is quite different in the link."	stopRecordingVideo()			
"Sure To HristoStoyanov. That part I added later bcoz while the app is recording video when pressing the stop button, the application will stop unexpectedly. When I searched what was the error, I found that the missing part. When I added this part it worked correctly. Unfortunately, I couldn't find out right now from where I was found it. Sorry for that. I didn't bookmark it. However, I want to know what the main task of the given part."				
After I pressed STOP button in 30miliseconds will turn off Media recorder. That means to start the stopping video process will take 30milisecods. Am I right?	30miliseconds			
"Yes. It will invoke everything inside TimerTask ,run, method after scheduled time (here is 30 milliseconds). You can test it by change it to 2000 or 3000 and see that it will be delayed more."				
If we don't need any delay can we set that value to null?	null			
"Sure, Thanks again"	again			
yes To LokkeshwaranJ	LokkeshwaranJ			
is there a way to do it on calling getImage()	getImage()			
"To grace check the edited answer. Use the function inside an ,AsyncTask, as this function blocks the UI thread."				
i tried to use this but it didnt work. I have an array adapter and i can't set imageView to array adapter	imageView			
You can use To Pattern	Pattern			
"To hooknc Yeah that would do the thing but I was hoping for some more let's say shorter solution, like using some annotation from the  javax.validation package."	annotation			
"To Tarun yeah pattern is not a bad idea. The thing is, if  I place null, or some number i.e 57, spring validation will automatically return bad request, but somehow it is not the case with the boolean values."	boolean			
"But how can I make this mapping for API calls? I'm using classes like DbxRequestConfig, DbxClient, DbxEntry etc."	DbxRequestConfig			
Yes I know this repository but I read something about Android and Google App Engine etc. so I thought that this API is for Android apps only. Was this wrong? Is the API built for Android and Desktop applications alike?	Android			
"It should work for both, since it's written in Java. I searched through their repositories and there isn't a separate SDK for Android."				
"Ok, then I will try it. Thanks a lot!"	it			
"for school project there is good alternative - GAE (google application engine) which can host small applications for free and it works with Firebase out of the box. For small number of queries it's ideal. All sync work is on the Firebase side (db, sync, push msgs, analytics...), so you can focus on your app logic, not tools"				
"seriously? how it easier for programmer, who knows java to start with php?!"				
php is really easy	php			
"Check out this question ,stackoverflow.com/q/32547662/4806502"				
"To Traabefi Thank you so much, exposing fields with ,To Expose, annotation worked perfect. :-)"				
"Thank you so much, that was all I needed."	needed			
"Here is the description about that error message. I hope this is helpful. ,developers.google.com/adwords/api/docs "	helpful			
What version of Java are you using (java -version)?	-version)			
Do you have access to the source?	source			
"No, I don't have access to the source."	source			
"Then you cant document the API's with Swagger, at least with Java. Swagger works by placing Java annotations of the methods and fields you want to document.  If you dont have the source, you obviously cannot do this.  I am not sure how Swagger works with JS, but I imagine its probably similar."	Swagger			
Thank you but is there any other tool/framework which can do that without the access to source code?				
"I assume for the nomenclature, you are using Spring.So I think, in this case, you forgot consumes (ex.  ,consumes = ""application/json"",) annotation in ,RequestMapping,, because your are passing to the REST method ,exportConfiguration, data is not already supported."				
"And can I set that consumes = ""application/json"" somehow from the request side? Sorry for possibly foolish question."	application/json			
"something like this: ,To RequestMapping(value = { ""/export"" }, method = RequestMethod.POST, produces = ""text/plain;charset=UTF-8"", consumes = ""application/json""),. But it is only an example, I do not know if you consumes json ;-)"	To			
"Yes, it should consume json. But just now I checked - there are other functions that have not that 'consumes' in the Spring header of the function, too, look the same, but don't return that error and reach the breakpoint in the body of the function."				
"I think it is not only what consumes the spring rest method, also what accept the lombok query, it is related to accept header in the http method"	accept			
"And can I turn on some my checking, in order to put there the breakpoint? For I have not the file DispatcherServlet in the project."	breakpoint			
"Another way you can declare filter, and check request before you Servlet"	filter			
"That variant works. Please, add into the answer the info on the jar and package and the doDispatch as the start method. Thank you very much."				
in your activity: do this  Context context=this;	Context			
show your code where you are passing context to it				
You have to initialize your context from context which you can passing from other activity				
Context context=this; worked.  When I want to call the same method from another class . Like this :         test2 method = new test2();         method.dostuff4();    Context is null again ?				
Thx. I just found that same answer ;) . Context was a little confusing.  Think I get it now.				
its good to know that it helped. keep on hitting hard! and keep questioning!	hard			
"sorry to bother you again, but do you know how could I add something like: ""{ value: retriever.apply(c)}"" in json format. If I try to add it, it returns me a plain text response, I would like to add like a variable with the value that the method returns"				
Please post follow-up questions as new questions rather than in the discussion of an answered one.	follow-up			
"To JimGarrison, appreciate your insight. What do you mean by API is broken ? As in it is interpreting the request differently or something else?"	API			
"As in the API is GZIPping the data but then sending it through a UTF-8 encode.  Also, what package/library is the ,Response, object from? Where can I find Javadoc for it?"	API			
"There is your issue.  You are converting to ,String, at one point, which tries to interpret the incoming byte stream as UTF-8.  You must ensure that the bytes that were originally received for the response body are passed through untouched."				
"HTTP status code 404 is ""Not found"". This means your request doesn't match any of your registered endpoints. Make sure your GET request is pointed at localhost:port/movies."				
"Could be that he does not have ,To ResponseBody, annotation in his controller method."	annotation			
How do you try to access your endpoint?	endpoint			
Thank you . That worked. Can I ask you another question if you don't mind? - How do I validate required and optional fields in an API response using REST Assured ?	Assured			
To Session(roles = { Role.ROLE_ADMINISTRATOR }) may be user don't have the proper role. 403 says same thing.	To			
To mallikarjun Thank you. The question is edited.				
"Thank you for finding the error in my actions. But I was asking about some process that will allow me to localize the error. Yes, reading the code always can help. But often the problem is more hidden or not obvious. Then I need to know where exactly the error happens, and I want to find the place in some automate way, such as debugging by line or inserting asserts. But where can I do that here? How could I find this problem in running code?"	error			
You cannot get there by putting breakpoints in your own code because that code is never even reached. You have some kind of security Funktionality i assume its Spring Security. If you only want to debug to where the error is thrown you will have to put breakpoints in the Spring Classes. This will not be that benefitial. If you want to change the Funktionality of you Security you will have to alter the SpringSecurity Configuration. Im not quiet sure what it is that you want to achive by debugging there when you know that the request itselve is the error.				
"Thx for this, I noticed that I forgot to actually get the property ""GODADDYKEY"" So I changed this line: header(""Authorization"", ""GODADDYKEY"") To: header(""Authorization"", prop.getProperty(""GODADDYKEY""))."				
"Cool, I'm happy that this was resolved for you. Please also take the time to upvote the answer since it was helpful for you."				
Looks to me like a query for Klout support.	Klout			
"OK, I didn't find a mail address for Klout support, but I've just sent them this tweet: ,twitter.com/bruno1970/status/997823911797571585"	Klout			
"鈥渁nd got a 404 Not Found error�? - well that is what you got to fix then �?You need to set up your routing properly to handle this URL, and take the ,code, value from it and exchange it for an access token."				
"Thanks, I modified it a little so that role as ""Viewer"" is filtered out - ,https://rally1.rallydev.com/slm/webservice/v2.0/projectpermission?fetch=Role,Workspace,Project&query=(Role != ""Viewer"")"	Viewer			
where is your Java code?	Java			
We can't help unless you tell us what you tried. Please show us the Java code that does not work as expected.	expected			
Too much fictional code here to be able to assist easily				
"It is extremely unlikely that ,DataOutputStream.writeBytes, is what you should be using here, as that will write a buffer prefixed with four bytes of the length of the buffer. Have you tried writing directly to the OutputStream of ,con.getOutputStream(),, or better yet, wrap it in an ,OutputStreamWriter, and get rid of your intermediate ,StringBuilder,, instead writing directly to the stream."	DataOutputStream.writeBytes			
Thanks for suggestion but I use Java 8. How can I do this in Java 8.	Java			
"Keep that id in header, encoded. Don't change the api signature"	header			
"This is likely to be closed as opinion-based, but for my two cents: you're right. The URI should not contain information that is only used for debugging purposes. Use a (custom) header for that. Although I have seen projects that used the standard ,User-Agent, header for this."	User-Agent			
Can you share with us the request you built?				
"Indeed, ga:visits is deprecated, nice that you point it out. I鈥檝e changed to query the API with this set :  Metrics : 	ga:sessions  Dimensions : 	ga:dateHourMinute 	ga:dataSource 	ga:userAgeBracket 	ga:userGender 	ga:interestInMarketCategory 	ga:city  However, even though with change, no data is returned :-|. I鈥檝e tried other combinations but  regardless of the order if you insert any of ,ga:userAgeBracket,, ,ga:userGender, and/or ,ga:interestInMarketCategory, the API simply keeps narrowing the results, or even returning nothing."	API			
Answered below. Upvote and accept if it's helpful!	Upvote			
To ShafqatShafi I have both a RestController and a Controller annotated classes. I guess I have both? I'm not very familiar	RestController			
Are you returning web pages or JSON object?	object			
I am testing using httpclient and this code is part of my automation tests. I am not sure where you are asking me to check this?	httpclient			
So the code you are invoking is a kind of client and the error is coming on server side. Please correct me if i am wrong				
Just test once with client like postman to check if server is responding perfectly.	postman			
instead of add part try addBinayBody of multipart. i am editing my answer				
maybe putting your definition of MyObject and client POST code will be useful.	MyObject			
"More precise one could talk of API as the part of a library that specifies the behavior, so interfaces and documentation for example. Having that you could have different implementations of one API specification that all fulfill the same overall result."	API			
This concept doesn't apply to just Java	Java			
"To Zabuza: thanks for your comments. So the answer to my first question would be ""yes""? What would you say about the second question?"	yes			
"I would say an API consists of the whole set of classes and functions, together they form an API. But more precise the API is just the description of the input and output, it does not necessarily declare ,how, one must implement this description. This perfectly matches the concept of ,interface,s. So you could for example have someone that creates the API by just creating hundreds of ,interfaces, and their ,documentation,. Then another team could write implementations for example."	API			
"If you need only the Player list, why dont you return the list directly? Since the caller already knows the team."	team			
"you may want to read up on a few basics. an api and an entry point for an application are not the same. You also don't seem to know about naming conventions. Now this: why do you want this main method to be triggered by build, and how do you know it doesn't run?"	conventions			
To Stultuske I know it is not running because i have added logs and which not coming while running the API by command Gradle build where as same when I do with IntelliJ it does show me the logs. Also I want to run it from the main because then it will create a jar which can be run also. Without main cannot create a jar. My only expected result is when i run the command Gradle build it should start running the API's.	API's			
"you have added logs ... not according to the code you posted. It is very well possible your IntelliJ run uses other properties than your Gradle build, so don't consider that to be the ""ultimate proof"". But still, build is supposed to build your application, not run it."				
Not helping me. Still thanks for your time. To Stultuske				
"Where is your angular app running from, port 4200?"	4200			
"Yes, angular app port 4200 and java api 8080"				
"You don't need to add ,Access-Control-Allow-Origin, on the Angular front-end btw, it's just the API that needs to answer with this"	Access-Control-Allow-Origin			
Ok i understand. I tried to add the annotation but when i add spring-web to my pom it doesn't work. I think i have dependencies with uncompatible version with spring-web	spring-web			
"after passing id to service, what should i return from controller class?"	service			
customerDto customerDto = new customerDto;             List<customerDto> customerDtoList = customerService.findcustomerIds(ids);             return ResponseEntity.ok(customerDto);	customerDto			
here i haven't use customerDtoList. but if i use it return then error happens.	customerDtoList			
"if you find customers successfully - you should return customerDtoList, if you have nothing to return - you should either throw an exception ""There are no any customers with such ids"" or just return empty list, depending on your requirements"				
thanks To star67. can you make an example of customerdtolist class ? what methods should i put into it ?	customerdtolist			
That can't literally be the error message. Where's the rest of it?	message			
no its not the same thing at all !				
"Can you share the details of your request. I have a similar issue ,stackoverflow.com/questions/63610834 "	request			
The OP might have used that as a placeholder to not have their actual key in the post	placeholder			
also can you share Professor entity class here?also share serviceimpl class as well.	serviceimpl			
can you share curso pojo class?	class			
"Thanks for your answer. But do you think that a + sign would work fine with the API. Also, there are other symbols also hence I require to convert them also."	API			
To RajeshK this will fix all reelevant chracters	chracters			
Are you using any frame work?				
Post your code for the post method				
To SamuelRobert : code adde :)				
You must enable PATCH method at the server side to do PATCH request...				
"Judging by the error message, it is not an error with Java per se, but looks more like a 404 error. Add some logs to see the full path where the request is being made, and if it the URL is clean and good, then maybe the server does not have POST, PATCH mapping for that resource"				
"Hi Luca, sorry if I made it unclear before. I've just edited my question to include that I've only made around 5 requests - certainly not over the limit. But I will look into adding billing information in case this might still be an issue."				
"What framework are you using? My guess is that it calls the default constructor (with no args) then set the value, try setting created in the default constructor also. It should then be saved on creation and later overridden for an existing object."				
"The behavior depends on which library you are using, there are configurations to ignore null fields during the marshalling, not including null properties in the generated json"				
To semako your suggestion worked. How can I setup to use parameterized constructor instead of default constructor?	parameterized			
Im add this dependency. this not help for me.	me			
"The product is more about the company brand and let's take the question as a programming task than delve into the semantic meaning of it. Your answer is helpful - when I removed the ,To Id, annotation form the Stock and renamed it to ,id1,, I am able to persist the value into the database.   I am still not able to persist the ,timestamp, for the product into the database. Do you have any idea and how to do it?"	id1			
"I have to initialize the variable IPartner, but I don't know how"				
"Hi, thanks for the answer and sorry that I didn't write before but it took me a while to get all these parameters. Which subscription do I need and do I have to pay every time I use this code?"				
"Now I have all parameters and when I run the application I get the following error: Exception in thread ""main"" java.io.IOException: Server returned HTTP response code: 401 for URL: ,login.microsoftonline.com/<hereIsMyTenantId>/oauth2/token,  ;;;                                                                                                               By searching the URL I get the following error: AADSTS900561: The endpoint only accepts POST, OPTIONS requests. Received a GET request."				
"Is,commons-logging.jar, added to your project? Try to add it if not."				
I am using jar library files in my project. I am not using maven.	maven			
use then this vesrions				
This is a bit unclear. Clarify what you need to do.	This			
"What is ""best""? Fastest? Easiest? Most secure? Shortest code? Quickest to write? Simplest to deploy? With data streams or old-school synchronous http?"	What			
"Okay, so to be more clear:  Let's say that I want to create rest server. This app contains one GET method and returns list of Github repository. When I made that kind of solution, I had a reference of Github API with prepared endpoints that returned it for me. I thought that read content from URL page that contained specified API endpoint with transforming that content with some tricky solutions like ObjectMapper would be good. Now, I think that there should be some other way to get data"	Github			
"To wmk Please be more specific. What do you want to achieve, what is the concrete scenario, what are you doing with the fetched data?"	fetched			
"Okay, so:  I want to create rest server. App contains GET method and returns let's say list of Github repositories. As I have been doing it before, I had a reference of Github API with prepared endpoint that returns specified repositories. When I did that rest server some time ago, I have made it in way that my controller launched URI, read whole data from page (it was just a JSON) and then parse with ObjectMapper to object. Although I see nothing wrong with such low level solutions, I'm wondering how could I made it in another way."	Github			
"To wmk Follow the link I provided for a tutorial for the server side. All ""relevant"" Java based HTTP-servers (e.g. Jetty, TomcTo t) support the annotations you use in these classes, so you can simply drop a war-file containing your classes and the whole thing will be available as REST service."				
"Here are the docs that show how the json looks: ,amiiboapi.com/docs"				
Thank you! So I think I already have something similar to your suggestion. I have edited my question to add the class in question.				
"To burgoyne, Your class if for input which you send to ,REST API,. ,AmiiboResponse, class should be used to deserialise output from ,REST API,."				
I gwt this error when attempting your solution: java.lang.IllegalStateException: Expected BEGIN_ARRAY but was BEGIN_OBJECT at line 1 column 241 path $.amiibo[0].release	solution			
That did it. Thank you so much for your help!	it			
"Possible duplicate of ,Volley - POST/GET parameters"				
"I tried your answer and it goes to Service Unavailable, it's a problem with the api right?"				
"have you added this  <uses-permission android:name=""android.permission.INTERNET"" /> in your  manifest??"	androidname=android.permission.INTERNET/>			
"Yes, I'm trying to see the comment from Saltae to make it work"	Saltae			
"Thank you for your answer, I managed to fix it following this question: ,stackoverflow.com/questions/33573803 "				
"Why on earth are you doing this in C++?? And you should understand the very basics of java commandline stuff before automating things (Hint: you are searching for your compiled class in a directory named ""TwitterDataCrawler.java"""	TwitterDataCrawler.java			
"this seems to be not a problem of calling ,system, but of the parameters you pass to it. Do this commands work if you type them by hand on the command line?"	system			
"I see what you mean. To GyroGearless Changing the code to: system(""java -cp TwitterDataCrawler"");  Gave me this message: ,imgur.com/a/wNwcolI, Am i still lacking something? Yes, this is my first time meddling with java commandline, I should have read up on it first before I began."	java			
"It appears that 41.x.x.x is not listed your SSL Certificate鈥檚 SAN Entry.  When you access your app via Browser, check your certificate SAN entries. In browser address bar, Click on Lock Icon -> Certificate -> Details -> Check Subject Alternative Name"				
"To Haran When I look at the cert in the browswer under the details it only has a CN, there is no SAN listed at all"				
"Thank you for the responses, I am a little confused (not too experienced with certificates). Should the 3rd party company generate a new certificate file which includes that information or is there something I should do from my side which will then add the ,valid name"	certificates)			
in the subject there is only a CN no SAN				
"To summarize: The server's certificate does not follow the rules and ignoring the error is the only thing you can do if they don't change it. This happens sometimes with 3rd party testing pages, but it's a bad practice."				
I see what you are saying. I will request from them that they fix the cert that they provided us and include the SAN. How do you ignore this error? Do I explicitly need to do it?				
"can you share the HTTP request from postman/browser? I also see you added CrossOrigin annotation, what is the purpose of that?"	that			
There is nothing wrong with CrossOrigin.It only mean that your resource can be consumed by any client.	CrossOrigin.It			
"Thank you! This did it. I appreciate your help, very much. I'm going to analyze WHY this worked and compare it against the work I'd done. Again, thank you."				
"Hi thank you for the hint, anyway nothing has changed :\"	hint			
Are you looking at the result in a browser?	browser			
"To Naya Yes, in Chrome"				
Then you should use HTML to format your response:)	HTML			
"Validator constraints annotations are validated ""on demand"" or by specifying it in the rest controller for example ,To Valid, . Post your controller if it doesn't address your issue."				
To davidxxx  i didnt understand. i added my controller				
added an answer to illustrate.	illustrate			
What would you expect to be a reasonable deserialization of your sample data?				
"Don't use the ,java.util.Date, class or the ,Calendar, class. Deserialize into objects from the ,java.time, package. Now, for us to help us, you have to show the code you used, best as ,minimal reproducible example,."	java.util.Date			
"Thats because ""2001-01"" doesn't match ""yyyy-MM-dd"" the day is never specified in the JSON, you are most likely using a different format when adding and when retrieving"				
"To OughtToPrevail If OP used Jackson for both building and parsing the JSON, there very likely wouldn't be a problem like this. In all probability, OP is trying to parse a JSON text from a ,third party,. Don't assume that JSON is just used for local storage. It is more often used for data exchange."	It			
So do you know how to resolve this problem?	problem			
"Thank you for you answer, i was posting the wrong library, i updated to the correct dependency that i am using, when i searched the best ways to do it,i found telethon but its in python, do you know if its available to java?"	telethon			
"Unfortunately, Telethon is not available in Java. I have not found any good Java library for this use case so far."	Java			
mvnrepository.com/artifact/org.influxdb/influxdb-java	mvnrepository.com/artifact/org.influxdb/influxdb-java			
"Please, try to search ""InfluxDB java client"", I am sure you will find a lot of good material on this topic :) ,github.com/influxdata/influxdb-java, (1), ,baeldung.com/java-influxdb, (2)"				
"Check your arraylist check null condition before execute code. see: - ,stackoverflow.com/questions/29627186 "				
"Have you debug ,onPostExecute,?"	onPostExecute			
Check the length of your arrays before accessing a specific index ...				
"But the index out of bounds error points to an index of 7, not 0."	0			
"I got it, but the code inside of the loop looks ok, so as i know that in this line is going to crash..."				
Is it retrieve the path of image or the complete image (in byte) from database?	database			
"For the developer, you'd give them the REST endpoint, i.e. ,localhost:8080/foo-app/images/1,, for your spring boot app, you can either create a file from bytes on server or send bytes directly without file creation through the ResponseEntity."				
"Yeah, I want to send the image to developer when he hit this url ""localhost:8080/foo-app/images/1"". But since the image is in byte and we can only send the JSON data then how can we display jpg file?"				
"Examine the ,return, statement. When they hit that endpoint, they get data with content-type as a JPEG. You can send non-JSON through REST endpoints as long as you mark its content type."	content-type			
Can you please show me the imports of above example and also the getAbsolutePath() method? I am getting errors.	getAbsolutePath()			
"Pasted the code below.  	,this.setRequest(RestAssured.given().auth().preemptive() 				.basic(ConfigHelper.getString(user + "".username""), ConfigHelper.getString(user + "".password"")) 				.header(""Content-type"", ""multipart/form-data"") 				.multiPart(""file"", new File(""src/test/resources/test-data/"" + fileName), ""application/json"") 				.config(RestAssuredConfig.newConfig() 						.sslConfig((new SSLConfig()).relaxedHTTPSValidation().allowAllHostnames())));"				
Do you set the port somewhere?	somewhere			
"in the Url itself, not anywhere else"	Url			
Try setting the port by using RestAssured.port = port instead of adding it to the URL directly	RestAssured.port			
no we are not returning the path in the response wolfetto. But we know that it will be generated inthe download folder. Anyway that postman has liberty to hit the downloads folder using api ??.				
is downloads folder inside server?				
my system local downloads folder. yes inside server.	folder			
"Once you have created the file in downloads you can call another endpoint to point the downloaded file, extract the information you are looking for etc etc. Of course, you must track the information about the file to retrieve it"	endpoint			
"It needs to be the same protocol, domain and port. So as long as you've got the right infrastructure for it (e.g. load balancer), the API and frontend code do not need to be on the same server."	API			
Can you elaborate a bit? I mean if I use the dto object type as To Requestbody parameter..will it map the incoming json accordingly? Given the json has less no. Of properties than in the dto?	json			
To mrfreester isnt that c#?				
"Oops... yes sorry, I had a couple of posts opens and mixed up languages..."	sorry			
"haha no worries, thanks anyways! you were on the right track at least - i wasnt encoding my form values properly"				
My doubt is how to call it from postman ? Should i use this Json in the body of the request ?	postman			
"You can use ,ObjectMapper, to convert json string to Java object for manipulation."	ObjectMapper			
"To LHCHIN Hey thanks, I understood that I can create a POJO class with the fields(Objects) but how would I dig dipper into those JSON objects after -> for example if there is JSON object {time} and time have a field named under ""updated"" how can i access that field."	POJO			
And of course the String responseStr I can just replace with my API endpoint right To LHCHIN	StringresponseStr			
"To Tim Prozorov Sure, you can replace it to ,response.toString(),."	response.toString()			
i have added all POJO classes and changed String you had above to response.toString() > I have received Time object but other two objects are null	POJO			
"To Tim Prozorov Did you check the result of ,response.toString(),? Does it contain those json objects (e.g. disclaimer or bpi)?"	bpi)			
"I had to create another wrapper class for BPI object due to the fact that USD is there always by default so it gives two objects    Map<String, Currency> bpi;"	wrapper			
"An HTTP request doesn't contain the full URL to the target machine. The first line of the request looks like this instead: ,POST /fdc/v1/search HTTP/1.1,."	/fdc/v1/search			
"I dont see any java code here.You should use ,mongoose.connection.close()"	mongoose.connection.close()			
Is it necessary to close it?	it			
"Probably not strictly ,necessary, (consult your Mongoose documentation to know for sure),, but never wrong and always a good idea (when done correctly)."	necessary			
"I did not use pool. ** var db = mongoose.connect ('mongodb: // localhost / testdb', {useNewUrlParser: true, useUnifiedTopology: true}); mongoose.Promise = global.Promise;"				
The library uses Mongoose....I've heard that Mongoose does DB.close () automatically. is not it?				
To ruhul Oh.Sorry and thank you for making my post more friendly.The code already has a 16 digit working api key				
